,Sys no.,Link,Title,Subject: 650 field only,Questions,Subject 1,Subject 2,Subject 3,Subject 4,Subject 5,Best Bets
LA,1840751,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,1840751",Religious and theological abstracts,Theology--Abstracts.;Religion--Abstracts.,,Theology and Religion,,,,,
LA,1842712,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,1842712",The Bible in English,,,Theology and Religion,English Language and Literature,,,,
LA,1842761,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,1842761",Eighteenth century fiction,English fiction--18th century--Databases.,,English Language and Literature,,,,,
LA,1844314,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,1844314",THOMAS,"Bills, Legislative--United States.;Law--United States.",,Political Science,,,,,
LA,1846015,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,1846015",Catalog of U.S. government publications,Government publications--United States--Bibliography--Catalogs.,,Political Science,,,,,
LA,1846959,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,1846959",Informe académico.,Latin American periodicals--Databases.;Spanish periodicals--Databases.,,"Latin American, Iberian, and Latino Studies",,,,,
LA,1855364,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,1855364",Electronic orange book,Drugs--Therapeutic equivalency--Databases.;Drugs--Bioavailability--Databases.;Drugs--Catalogs.;Pharmaceutical services insurance--Databases.;Medical care--United States--Databases.;Drugs--Databases.,,"Biology, Environmental Sciences, and Medicine",,,,,
LA,1855979,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,1855979",ATLA religion database.,Religion--Indexes.;Religion--Databases.;Theology--Indexes.;Theology--Databases.,,Theology and Religion,,,,,
LA,1861496,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,1861496",CiteSeer,Technology.;Information services.;Directories.,?,,,,,,
LA,1861497,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,1861497",United States Patent and Trademark Office,Trademarks--Databases.;Patents--Databases.;Patents--United States--Databases.;Trademarks--United States--Databases.;Patents (International law)--Databases.;Trademarks (International law)--Databases.,?,,,,,,
